Company,Domain,ESG Link
Newell Brands, https://www.newellbrands.com/, https://www.newellbrands.com/corporate-citizenship/
Eastman Chemical, https://www.eastman.com/, https://investors.eastman.com/Environmental-Social-Governance/default.aspx
Air Products & Chemicals, https://www.airproducts.com/, https://www.airproducts.com/company/sustainability
Thrivent Financial for Lutherans, https://www.thrivent.com/, https://www.thrivent.com/governance
Molson Coors Beverage, https://www.molsoncoors.com/, https://www.molsoncoors.com/sustainability/sustainability-overview
Interpublic Group, https://www.interpublic.com/, https://www.interpublic.com/esg-reports/
Weyerhaeuser, https://www.weyerhaeuser.com/, https://www.weyerhaeuser.com/sustainability/
Altice USA, https://www.alticeusa.com/, https://www.alticeusa.com/impact
Raymond James Financial, https://www.raymondjames.com/, https://www.raymondjames.com/about-us/corporate-responsibility/
EMCOR Group, https://www.emcorgroup.com/, https://www.emcorgroup.com/sustainability-efforts
Eversource Energy, https://www.eversource.com/content/residential, https://www.eversource.com/content/residential/about/sustainability
Yum China Holdings, https://www.yum.com/ ~~ https://ir.yumchina.com/, http://www.yumchina.com/respIndex
Asbury Automotive Group, https://www.asburyauto.com/, https://socialresponsibility.asburyauto.com/
Owens & Minor, https://www.owens-minor.com/, https://investors.owens-minor.com/esg/
Public Service Enterprise Group, https://pseg.com ~~ https://corporate.pseg.com/, https://corporate.pseg.com/esg
United Rentals, https://www.unitedrentals.com/, https://www.unitedrentals.com/our-company/about-us/sustainability
MGM Resorts International, https://www.mgmresorts.com/en.html, https://www.mgmresorts.com/en/company/esg.html
Ryder System, https://www.ryder.com/, https://investors.ryder.com/sustainability/default.aspx
Intuit, https://www.intuit.com/, https://www.intuit.com/company/corporate-responsibility/
Cincinnati Financial, https://www.cinfin.com/, https://cincinnatifinancialcorporation.gcs-web.com/sustainability
Erie Insurance Group, https://www.erieinsurance.com/, https://www.erieinsurance.com/blog/social-responsibility
Univar Solutions, https://www.univarsolutions.com/, https://www.univarsolutions.com/sustainability
Huntington Ingalls Industries, https://hii.com/, https://hii.com/who-we-are/sustainability/
W.R. Berkley, https://www.berkley.com/, No Link Found
Western & Southern Financial Group, https://www.westernsouthern.com/, https://www.westernsouthern.com/about/corporate-responsibility/
Insight Enterprises, https://www.insight.com/, https://www.insight.com/en_US/about/outreach-and-partnerships.html
News Corp., https://newscorp.com/, https://newscorp.com/news-corp-esg-report/
American Tower, https://americantower.com/, https://www.americantower.com/sustainability/index.html
Old Republic International, https://www.oldrepublic.com/, https://ir.oldrepublic.com/governance/governance-documents/default.aspx
Burlington Stores, https://www.burlington.com/, https://www.burlingtoninvestors.com/corporate-social-responsibility/
Avis Budget Group, https://avisbudgetgroup.com/, https://avisbudgetgroup.com/csr/
ODP, https://www.officedepot.com, https://www.theodpcorp.com/corporate-sustainability?cm_sp=FooterLink-_-corporate-sustainabilty
VF Corp., https://www.vfc.com, https://www.vfc.com/responsibility
Bed Bath & Beyond, https://www.bedbathandbeyond.com, https://www.bedbathandbeyond.com/esg
Seaboard, https://www.seaboardcorp.com, No Link Found
First American Financial, https://www.firstam.com, https://www.firstam.com/sustainability/index.html
Intercontinental Exchange, https://www.ice.com, https://www.ice.com/about/corporate-responsibility
PVH, https://www.pvh.com, https://pvh.com/responsibility
Apollo Global Management, https://www.apollo.com, https://www.apollo.com/esg-corporate-social-responsibility
Jefferies Financial Group, https://www.jefferies.com, https://www.jefferies.com/ESG/ESG/ESG/2796
Hershey, https://www.thehersheycompany.com, https://investors.thehersheycompany.com/en_us/home/environmental-social-and-governance.html
NVR, https://www.nvrinc.com, https://nvri.gcs-web.com/corporate-governance/highlights
Foot Locker, https://www.footlocker.com/, https://investors.footlocker-inc.com/impactreport
Dana, https://www.dana.com, https://www.danainvestment.com/our-responsibilities/
SpartanNash, https://www.spartannash.com, https://www.spartannash.com/corp-responsibility/
Olin, https://www.olin.com, https://olin.com/corporate-responsibility/
Chewy, https://www.chewy.com, https://investor.chewy.com/governance/documents/default.aspx
Jackson Financial, https://www.jackson.com, https://www.jackson.com/the-jackson-difference/environmental-social-governance.html
Activision Blizzard, https://www.activisionblizzard.com, https://ourcommitments.activisionblizzard.com/esgreports
Toll Brothers, https://www.tollbrothers.com, https://www.tollbrothers.com/esg
Carlyle Group, https://www.carlyle.com, https://www.carlyle.com/esg
Graybar Electric, https://www.graybar.com, https://www.graybar.com/about-us
Ovintiv, https://www.ovintiv.com, https://sustainability.ovintiv.com/
UFP Industries, https://www.ufpi.com, https://www.ufpi.com/sustainability
Ulta Beauty, https://www.ulta.com, https://www.ulta.com/investor/esg
Constellation Brands, https://www.cbrands.com, https://www.cbrands.com/pages/responsibility
Expedia Group, https://www.expedia.com/ ~~ https://www.expediagroup.com, https://www.expediagroup.com/who-we-are/Impact--Sustainability/default.aspx
CommScope Holding, https://www.commscope.com, https://www.commscope.com/Corporate-Responsibility-and-Sustainability
Celanese, https://www.celanese.com, https://sustainability.celanese.com/
Global Payments, https://www.globalpayments.com, https://investors.globalpayments.com/esg
Owens Corning, https://www.owenscorning.com, https://www.owenscorning.com/en-us/corporate/sustainability
Campbell Soup, https://www.campbells.com/ ~~ https://www.campbellsoupcompany.com, https://www.campbellsoupcompany.com/our-impact/
Huntsman, https://www.huntsman.com, https://www.huntsman.com/sustainability
Franklin Resources, https://www.franklinresources.com, https://www.franklinresources.com/about-us/citizenship
Avery Dennison, https://www.averydennison.com, https://esg.averydennison.com/en/home.html
Masco, https://www.masco.com, https://masco.com/sustainability/
CenterPoint Energy, https://www.centerpointenergy.com, https://sustainability.centerpointenergy.com/
Fifth Third Bancorp, https://www.53.com, https://ir.53.com/esg/overview/default.aspx
WEC Energy Group, https://www.wecenergygroup.com, http://www.wecenergygroup.com/csr/index.htm
